STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/3/1998,0,0,0,,79,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/4/1998,0,0,0,,77,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/5/1998,0,0,0,,76,57
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/6/1998,0,0,0,,73,56
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/7/1998,0,0,0,,73,39
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/8/1998,0,0,0,,74,36
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/9/1998,0,0,0,,82,37
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/10/1998,0,0,0,,85,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/11/1998,0,0,0,,89,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/12/1998,0,0,0,,88,42
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/13/1998,0,0,0,,81,55
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/14/1998,0.54,0,0,,71,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/15/1998,0,0,0,,75,43
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/16/1998,0,0,0,,75,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/17/1998,0,0,0,,82,60
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/18/1998,0,0,0,,83,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/19/1998,0,0,0,,84,42
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/20/1998,0,0,0,,86,43
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/21/1998,0,0,0,,88,59
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/22/1998,0,0,0,,91,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/23/1998,0,0,0,,93,50
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/24/1998,0,0,0,,91,50
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/25/1998,0.05,0,0,,82,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/26/1998,0,0,0,,73,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/27/1998,0,0,0,,77,43
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/28/1998,0.06,0,0,,62,44
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/29/1998,0,0,0,,65,34
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/30/1998,0,0,0,,74,39
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",3/31/1998,0,0,0,,72,36
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/1/1998,0,0,0,57,67,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/2/1998,0,0,0,53,73,33
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/3/1998,0,0,0,57,76,37
