"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-15","0.00","109","75"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-16","0.00","108","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-17","0.00","104","79"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-18","0.00","103","74"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-19","0.00","105","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-20","0.00","108","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-21","0.00","105","81"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-22","0.00","104","80"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-23","0.00","99","82"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-24","0.00","103","82"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-25","0.00","102","78"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-26","0.00","108","81"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-27","0.00","110","87"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-28","0.00","108","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-29","0.00","103","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-30","0.00","104","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-07-31","0.00","100","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-01","0.00","103","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-02","0.00","109","72"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-03","0.00","112","75"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-04","0.00","107","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-05","0.00","105","66"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-06","0.00","106","62"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-07","0.00","107","67"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-08","0.00","110","77"
